date|score
1990-01-01|-0.03361930984717149
1990-01-07|0.0
1990-01-08|0.0
1990-01-10|0.0
1990-01-11|0.0
1990-01-22|0.0
1990-01-31|0.0
1990-02-08|0.0
1990-02-15|0.0
1990-02-16|0.0
1990-03-15|0.0
1990-04-04|0.0
1990-04-11|0.0
1990-04-12|0.0
1990-04-27|0.0
1990-05-03|0.0
1990-05-10|0.0
1990-05-20|0.0
1990-05-21|0.0
1990-05-30|0.0
1990-06-08|0.0
1990-07-03|0.0
1990-07-10|0.0
1990-07-12|0.0
1990-08-02|0.0
1990-08-09|0.0
1990-08-15|-0.9970671534538269
1990-08-27|0.0
1990-09-06|0.0
1990-09-19|0.0
1990-09-24|0.0
1990-09-26|0.0
1990-10-10|0.0
1990-10-11|0.0
1990-10-17|0.0
1990-10-31|0.0
1990-11-08|0.0
1990-11-09|0.0
1990-11-21|0.0
1990-12-13|0.0
1990-12-17|0.0
1990-12-21|0.0
1991-01-01|0.00014858410276215653
1991-01-06|0.0
1991-01-11|0.0
1991-01-16|0.0
1991-01-17|0.0
1991-01-22|0.0
1991-02-04|0.0
1991-02-06|0.0
1991-02-12|0.0
1991-02-14|0.0
1991-02-22|0.0
1991-03-04|0.0
1991-03-14|0.0
1991-03-15|0.0
1991-04-09|0.0
1991-04-11|0.0
1991-04-23|0.0
1991-04-24|0.0
1991-04-30|0.0
1991-05-01|0.0
1991-05-02|0.0
1991-05-03|-0.4999164342880249
1991-05-05|0.0
1991-05-07|0.0
1991-05-09|0.0
1991-05-19|0.0
1991-05-28|0.0
1991-06-04|0.0
1991-06-06|0.0
1991-06-21|0.0
1991-07-05|0.0
1991-07-11|0.0
1991-07-25|0.0
1991-07-29|0.0
1991-08-02|0.0
1991-08-06|0.0
1991-08-08|0.0
1991-08-22|0.0
1991-08-29|0.0
1991-09-01|0.0
1991-09-12|0.0
1991-09-25|0.0
1991-09-26|0.0
1991-10-01|0.0
1991-10-08|0.0
1991-10-10|0.0
1991-10-17|0.0
1991-10-18|0.0
1991-10-22|0.0
1991-10-27|0.0
1991-11-07|0.0
1991-11-22|0.0
1991-11-27|0.0
1991-12-06|0.0
1991-12-12|0.0
1991-12-16|0.0
1991-12-24|0.0
1992-01-01|0.02216941879150715
1992-01-10|-0.9996875524520874
1992-01-13|0.0
1992-01-16|0.0
1992-01-20|0.0
1992-01-23|0.0
1992-02-02|0.0
1992-02-04|0.0
1992-02-13|0.0
1992-02-17|0.0
1992-02-27|0.0
1992-03-01|0.0
1992-03-12|0.0
1992-03-30|0.0
1992-04-01|0.0
1992-04-03|0.0
1992-04-09|0.0
1992-04-29|0.0
1992-04-30|0.0
1992-05-03|0.0
1992-05-07|0.0
1992-05-13|0.0
1992-05-27|0.0
1992-06-11|0.0
1992-06-29|0.0
1992-06-30|0.0
1992-07-01|0.0
1992-07-09|0.0
1992-07-14|0.0
1992-07-20|0.0
1992-07-21|0.0
1992-07-31|0.0
1992-08-06|0.0
1992-08-13|0.0
1992-08-16|0.0
1992-08-21|0.0
1992-08-24|0.0
1992-09-10|0.0
1992-09-15|0.0
1992-09-17|0.0
1992-09-29|0.0
1992-09-30|0.0
1992-10-01|0.0
1992-10-08|0.0
1992-10-11|0.0
1992-10-12|0.0
1992-10-15|0.0
1992-10-23|0.0
1992-10-27|0.0
1992-10-30|0.0
1992-11-04|0.0
1992-11-12|0.0
1992-11-19|0.0
1992-11-27|0.0
1992-12-01|0.0
1992-12-08|0.0
1992-12-10|0.0
1992-12-17|0.0
1992-12-21|-0.9999068975448608
1992-12-24|0.0
1993-01-01|0.019522545238335926
1993-01-14|0.0
1993-01-21|0.0
1993-01-26|0.0
1993-02-01|0.0
1993-02-04|0.0
1993-02-11|0.0
1993-02-18|0.0
1993-02-22|0.0
1993-02-26|0.0
1993-03-01|0.0
1993-03-11|0.0
1993-03-18|0.0
1993-03-25|0.0
1993-03-31|0.0
1993-04-01|0.0
1993-04-05|0.0
1993-04-08|0.0
1993-04-15|0.0
1993-04-21|0.0
1993-04-22|0.0
1993-04-23|0.0
1993-04-29|0.0
1993-05-06|0.0
1993-05-13|0.0
1993-05-20|0.0
1993-05-28|0.0
1993-06-10|0.0
1993-06-17|0.0
1993-06-25|0.0
1993-07-01|0.0
1993-07-02|0.0
1993-07-08|0.0
1993-07-20|0.0
1993-07-27|0.0
1993-08-12|0.0
1993-08-19|0.0
1993-08-23|0.0
1993-08-24|0.0
1993-08-29|0.0
1993-08-30|0.0
1993-09-09|0.0
1993-09-24|0.0
1993-09-30|0.0
1993-10-01|0.0
1993-10-07|0.0
1993-10-10|0.0
1993-10-14|0.0
1993-10-15|0.0
1993-10-17|0.0
1993-10-18|0.0
1993-10-28|0.0
1993-11-04|0.0
1993-11-11|0.0
1993-11-18|0.0
1993-11-22|0.0
1993-11-26|0.0
1993-11-29|0.0
1993-12-01|0.0
1993-12-09|0.0
1993-12-16|0.0
1993-12-17|0.0
1993-12-23|0.0
1994-01-01|-0.048073997698634505
1994-01-13|0.0
1994-01-14|0.0
